Date,Area Name,Road/Intersection Name,Traffic Volume,Average Speed,Travel Time Index,Congestion Level,Road Capacity Utilization,Incident Reports,Environmental Impact,Public Transport Usage,Traffic Signal Compliance,Parking Usage,Pedestrian and Cyclist Count,Weather Conditions,Roadwork and Construction Activity
2022-01-01,Indiranagar,100 Feet Road,50590,50.23029856408026,1.5,100.0,100.0,0,151.18,70.63233020424546,84.04460046972835,85.40362888980228,111,Clear,No
2022-01-01,Yeshwanthpur,Yeshwanthpur Circle,15043,47.96984673233186,1.3548345697060469,55.74084425048581,76.63531646154289,0,80.086,21.314009986622963,95.94216754108317,80.3214529829795,105,Clear,No
2022-01-01,Hebbal,Ballari Road,38446,26.144876261711516,1.5,100.0,100.0,3,126.892,48.86405681196237,81.18602313424026,62.092614545022585,84,Overcast,No
2022-01-01,Hebbal,Hebbal Flyover,31760,56.90455625809979,1.5,97.67246206775482,100.0,1,113.52,12.854259908833471,83.63571772752968,83.87821809211411,91,Clear,No
2022-01-01,Jayanagar,Jayanagar 4th Block,25379,38.45517943888766,1.5,79.03882287608127,100.0,2,100.758,46.315343522035626,88.12075835580711,68.1814801189647,92,Clear,No
2022-01-01,M.G. Road,Anil Kumble Circle,36574,29.98242956415464,1.5,100.0,100.0,3,123.148,72.47912989429844,81.57368967662603,90.37200775820313,115,Clear,No
2022-01-01,Jayanagar,South End Circle,25022,35.039373044314026,1.5,78.97959595139889,100.0,1,100.044,44.26169321942941,99.42601816442402,62.10276357557502,105,Clear,No
2022-01-01,Koramangala,Sarjapur Road,57292,41.11676288840868,1.5,100.0,100.0,3,164.584,35.09260099809909,64.63476238100519,93.15517129377967,104,Clear,No
2022-01-01,Koramangala,Sony World Junction,60874,43.817610389486106,1.5,100.0,100.0,1,171.748,32.7731231534285,75.54709158757927,63.5674515886948,111,Clear,No
2022-01-01,Whitefield,Marathahalli Bridge,7399,54.47439821046639,1.0390688456025536,28.34799386357647,36.39652493739601,0,64.798,44.66238370778891,61.375540844608736,95.4660201039391,189,Clear,No
2022-01-01,Indiranagar,CMH Road,30825,29.377124707590276,1.5,100.0,100.0,1,111.65,41.92489889519251,91.40703845572054,59.98368910791799,100,Clear,No
2022-01-01,M.G. Road,Trinity Circle,47848,34.241962549718146,1.5,100.0,100.0,3,145.696,39.92787128509848,61.01676506976381,55.39457134966522,94,Overcast,No
2022-01-02,Hebbal,Hebbal Flyover,6758,34.756123586657104,1.069280747964006,21.203699651426128,32.77504734397373,1,63.516,13.171280684043117,74.98450458505884,81.29299578571182,200,Rain,No
2022-01-02,Yeshwanthpur,Tumkur Road,15636,32.794298957181454,1.3105651842967987,48.93607080506035,82.48757325603566,1,81.27199999999999,62.56097474540481,90.1817149633873,55.15619344179663,115,Overcast,No
2022-01-02,Yeshwanthpur,Yeshwanthpur Circle,20375,40.06999065341167,1.3379501243877818,58.38210538138319,100.0,0,90.75,18.271537933515937,87.86948661456603,81.4471423389942,113,Overcast,No
2022-01-02,Hebbal,Ballari Road,30209,31.1468640313824,1.5,100.0,100.0,2,110.418,48.193175252115445,97.658592351061,69.30513189003871,90,Clear,Yes
2022-01-02,Jayanagar,South End Circle,37509,51.5135098647949,1.5,100.0,100.0,1,125.018,63.04922773250584,60.57573954519023,55.80363202534581,76,Overcast,No
2022-01-02,Jayanagar,Jayanagar 4th Block,16676,53.52433334796224,1.1755885682822544,47.15579429351197,78.63350743415457,2,83.352,38.62670610899889,66.93177280283383,57.8218521335543,92,Fog,No
2022-01-02,M.G. Road,Anil Kumble Circle,37584,45.889505969673664,1.5,100.0,100.0,2,125.168,15.97432254956376,62.06726884674431,76.5677315784074,101,Fog,No
